,composition,Eg (eV)
126,KSbSe2,1.14
127,Ag3AsSe3,1.98
128,As2Se3,1.84
129,LiGaSe2,3.13
130,NbSe2,1.4
132,OsS2,2.0
133,GeS,1.8
134,RuAs2,0.8
136,Ga1.1Sb0.9Se0.3,0.67
137,Sm2S3,2.96
138,SiP,2.0
140,Pb0.9Sn0.1Se,0.08
142,CsYbMnSe3,1.6
145,BaSe,3.58
146,K4In4P6Se20,2.2
148,Bi2Te0.45Se2.55,0.2
149,KNb3Te2O12,3.52
150,Cd4P2I3,2.17
151,Cr2S3,0.9
152,InSe,1.32
153,Sr0.5TaO3,3.7
154,Tb4GaSbS9,2.44
157,Dy2Te3,0.69
158,TiTlS2,1.0
159,Bi2S3,1.25
160,Ba2GaYTe5,1.08
161,Pb0.99Se0.99Sn0.01Se0.01,0.31
162,Tl2InGaSe4,2.05
163,NaLaS3,2.61
164,CsGe5BO12,4.89
165,Tl2.35Sb8.65Se14,0.6
166,SnS0.8Se0.2,1.03
167,Hg3PS4,2.03
168,Zn2In2S5,2.95
169,Cs2ZnGe3Te8,1.07
170,EuSb4S7,0.98
171,PbSe,0.17
172,Na0.75Eu1.625GeSe4,2.0
174,ZnHg3Se2Cl4,2.23
176,CsSb,0.8
178,Rb3CdB5O10,2.34
179,Hg0.5Cd0.5Se,0.8
181,TaGaSe2,2.17
182,Ir0.67Se2,0.45
183,Bi2Se3,0.4
184,La2Ge2Se7,1.08
185,Bi12GeO20,3.25
187,Ba2Sb7O14H,2.7
188,GaS,2.7
189,Sr3EuP3O12,3.99
190,Zn0.15Cd0.85Se,2.5
191,CuCl,3.2
192,CsLuCoS3,1.5
193,BiSBr,1.92
195,NaBr,7.03
196,Pb0.95Mn0.05Te,0.37
198,Ba6Ga2SnSe11,1.99
199,La4Cd4In2S13,2.27
200,CsAg2AsS3,2.7
201,HgSe,0.6
202,MnO2,1.3
204,CuSbSe2,1.05
205,Ce2Sn3Se9,0.3
208,Na2Hg3Ge2S8,2.68
209,Hg4P2ZrCl6,3.22
210,Cs3Bi,0.55
211,RbCd4Ga5S12,3.02
212,GaSb,0.82
213,Cs4Cu3Bi9S17,0.9
214,SeTe,1.58
215,GaTe,1.8
216,La1.86Tb1.14Ga1.67S7,2.67
217,ZnSe,2.79
218,SrPbO3,1.78
219,Na7Co2O6,0.5
220,In0.99Al0.01P,1.3
221,PbSe0.99S0.01,0.26
223,Cu3NbSe4,2.45
224,Ba4LiGa5Se12,2.65
225,GaSe,2.0
226,Ag3SbS3,2.08
227,Ga0.4Al0.6P,2.4
229,RbInTe3O8,3.9
230,K2RbSb,1.2
232,CdIn2Te4,1.28
233,PbO2,1.45
237,Li2WTeO6,4.0
238,Nd2Se3,1.75
239,SbSeI,1.91
241,ZrSe3,1.5
242,Rb5BS4O16,3.99
243,KCuThS3,2.95
244,InSb0.3As0.7,0.11
245,Cu3AsS4,1.24
246,Pr2Te3,1.3
248,Ba2V2Te2O11,3.16
250,AlSb,1.5
251,HgIn2Se4,0.6
252,Cd4V3Te3O15,2.66
254,Rb2Cu2SnS4,2.08
255,TlBr,3.01
256,TlTaS3,0.78
257,CuGaTe2,1.0
258,Cu0.35Ga1.65S2.65,2.57
259,CdBiO2Cl,3.08
260,Ga2S3,2.85
262,Ga1.01Sb0.99Se0.03,0.62
263,EuHo2Se4,1.8
264,HgSe,0.1
266,GaN,3.4
267,CuCl,3.28
268,Zn0.5Hg0.5Se,0.75
271,TaGaS2,2.46
272,Pb0.01Sn0.99Te,0.26
273,Pb0.8Sn0.2Se,0.08
274,SmTe,0.32
275,Ce2GeSe5,1.7
276,RbBiSe2,0.9
277,GaAs0.05Sb0.95,1.28
278,CrSb2,0.16
279,La2GeSe5,1.24
280,TlScTe2,0.85
282,CdSb,0.45
283,Sr2TiO4,3.41
284,Nb2O5,3.08
286,Hg4P2HfCl6,3.26
287,PbSe,0.27
288,DyN,2.6
289,CsInTe3O8,3.9
290,Cu5Ta11O30,2.58
291,LiB3O5,7.75
292,LaF3,6.6
293,AlN,5.9
295,K2Sb8Se3,1.31
296,CaS,6.0
297,CdSiAs2,1.5
298,IrP2,1.0
299,Ba3Bi2TeO9,2.3
300,As2Te3,1.63
301,NaNO2,3.02
302,Cs3As,0.6
303,CuInS2,1.5
304,SnS2,2.43
305,SbI3,2.5
307,PbSe0.5S0.5,0.33
308,Mn2P2Se6,2.5
309,Na2CdGe2Se6,2.37
311,Cu0.5Ga1.5S2.5,2.46
313,Na2BaSnS4,3.27
314,Pb4Ga5GeS12,2.35
315,CsAg5Te3,0.65
316,GaSb,0.78
317,TlBr,2.63
318,CdS,2.58
319,TlPTe,0.3
320,Pb0.94Se0.94Ge0.06Te0.06,0.28
321,BiI3,1.8
322,BaZnGeSe4,2.46
323,SiP2,1.89
324,Pb7Bi4Se13,0.29
325,Sr2Bi5.42La2.58S14,1.0
326,YbSnTe2,0.75
327,BaPrO3,2.0
328,CaS,5.38
330,Dy2O3,5.0
331,AgGaGe5Se12,2.14
332,LaBeB3O7,5.65
333,Ba2GaSmTe5,1.04
336,AlSb,1.63
337,Li6Rb5B11O22,6.53
338,K9Bi13S24,1.4
340,KBaB5O9,3.65
341,FeI2,5.15
342,CdS,2.53
343,La3LuSe6,1.26
345,NdIn3S6,1.15
346,AgS,1.2
347,NaSbSe2,1.6
348,Mg2Sn,0.33
350,CdSb,0.56
351,Ru2Ge3,0.34
352,ZnAs,0.9
354,LiTaO3,4.1
357,PbSe,0.18
358,Ho2HfS5,1.0
359,FeSi2,0.9
360,RbInSnS4,2.7
361,Ba2NdGaS5,2.12
362,Ga0.99P0.99Zn0.01Se0.01,2.24
363,EuLiH3,1.5
364,AgInSe2,1.04
365,Pb4Ga5GeSe12,1.91
366,Ba2InTaO6,4.17
367,Ca6Bi6O15,3.34
368,RbCd4Ga5Se12,2.19
370,Tl2Te3,0.2
371,CdTe,1.5
372,LiNbO3,4.0
374,PtSb2,0.1
375,As2S3,2.78
376,SbSI,1.82
377,GaN,3.5
378,As2Te3,1.64
379,Zr6O,0.18
381,Cu2MgSiS4,3.2
382,InAs,0.43
383,UP2S9,1.41
385,Sn3As2,0.47
386,InP,1.5
387,NaAsSe2,1.52
388,Ga0.4As0.4Zn0.6Se0.6,1.8
389,GaAs0.65Sb0.35,0.68
390,TaGaSe2,2.23
391,Mn11Si19,1.0
392,Mg2Sn,0.22
393,CdSe,1.8
394,NaSbTe2,0.47
395,Pb17O8Cl18,3.44
396,KH2PO4,7.0
398,ZnS,3.69
399,Cu2ZnGeSe4,1.63
401,CI4,2.26
402,ZrS3,2.17
404,KI,6.31
406,Ce2Te3,1.4
407,Cs2Bi8.81La1.19S16,1.0
408,Cs2Ta2P2Se12,2.29
409,Tl3TaS4,2.18
410,Rb2Zn3Se4O12,4.9
412,Tl2InGaTe4,0.88
413,Ga0.95Sb0.95Hg0.05Te0.05,0.69
414,SrZrS3,0.8
415,Cd4P2Br3,2.19
417,Bi2Mo2Se2O13,3.15
418,Cu2ZnSiS4,3.2
419,BiCuOS,1.07
420,CdGeAs2,0.61
423,CsYTe3O8,3.4
425,Ba23Ga8Sb2S38,2.84
426,CdF2,6.0
427,Nd2YbCuS5,1.35
428,Ba2HgS5,2.4
429,AgTe,0.85
430,ZnSe,2.8
431,Ag3AsS3,2.24
433,In5Se6,0.14
435,CuGa2S3.5,2.42
436,Pb0.97Sn0.03Te,0.21
439,ZnYBiO4,1.58
440,Hg3Te2UCl6,2.6
441,PbGa4S7,3.08
442,MoO3,3.54
443,ErSe2,1.07
444,CuTlSe2,1.07
445,KAsSe2,1.63
446,SmCuOS,2.9
447,CsYZnSe3,2.41
448,LiB3O5,7.78
449,BiI3,2.03
450,InSb0.7As0.3,0.16
453,GaS,2.84
454,Zn0.01Cd0.99Se,2.5
455,CuBr,3.08
456,KI,6.25
457,CuBr,2.91
458,Bi2Te0.6Se2.4,0.28
459,AlP,3.62
460,Bi2Te0.03Se2.97,0.27
461,RbCu4AsS4,2.15
462,ZnGeP2,2.34
463,YPdSb,0.27
464,GeSe,1.08
465,Pb0.94Se0.94Sn0.06Se0.06,0.22
467,Sb2Te3,0.19
469,KI,6.28
470,Hg0.01Cd0.99Se,0.29
472,Cu0.2Ga1.8S2.8,2.7
473,Cs2Ba3P4O14,6.31
474,LiRbCO3,6.28
475,SnSe,0.88
476,OsP4,0.6
477,Sb2Se3,1.2
479,Rb4Ge3B6O17,5.42
480,Eu2Se3,1.02
482,CdGeAs2,0.41
483,GaSe,2.02
485,GeS,1.65
486,CsBr,7.18
487,Cs3Bi2I9,1.9
488,Pb0.995TeGa0.005,0.37
489,Cd3P2,0.6
490,In0.9P0.9Ga0.1As0.1,1.32
491,As2S3,2.74
492,Na3Sb,1.0
493,Ca2SnS4,2.32
494,EuO,1.12
496,CsInSn2Se6,1.78
497,TlCl,3.75
498,RbGeB3O7,5.58
500,CsGdZnTe3,2.13
501,LiGaO2,5.6
502,Ag2GeTe3,0.07
503,KTiPO5,3.8
504,AsI3,2.29
505,As4S4,2.4
506,RhSbTe,0.5
509,TlCr5S2Se6,0.75
510,K2AgIn3Se6,1.64
511,BaF2,9.1
512,ZnSnP2,2.1
513,Ga0.15As0.15Zn0.85Se0.85,2.25
515,Ca10Ge16B6O51,5.47
516,CdIn,0.6
517,Ba2InGdTe5,1.36
518,Rb3Ta2AsS11,2.21
519,HgIn2Te4,1.25
520,FeSi2,0.95
521,RbScSe2O6,4.9
522,BaIn2Se4,2.63
523,Ag2O,1.5
524,GeS,1.58
525,BaF2,9.21
526,TlBr,2.65
527,SrS,4.8
528,AsSI,2.05
529,CaTaO2N,2.4
530,Pb0.999Sn0.001Te,0.18
532,NaAsSe2,1.46
533,AgAsS2,2.14
535,ErTe,0.9
536,LiCdBO3,4.28
538,Ca2Sn,0.9
541,Sm2Te3,0.7
542,K3Ta2AsSe11,1.45
543,K4Nb2S11,2.42
544,SnGe,0.4
545,Mg2Sn,0.3
546,Zn0.43Cd0.57Se,2.8
547,LaH2NO5,4.76
548,TlS2,1.8
549,Bi2Te2.4Se0.6,0.27
550,Sr3BiP3O12,4.0
551,ZrSe2,2.0
552,BaIn2P4O14,3.97
553,La2NiVO6,0.45
554,TiO2,3.3
555,Sn0.5GaZn5.5O8,2.99
556,CdS,2.58
557,K2PbGe2S6,2.85
558,Rb4GeP4Se12,2.0
559,CsTa3Se2O12,3.88
560,Hg0.01Zn0.99Te,2.3
562,Cd4As2Br3,1.88
563,PbBiO2Cl,2.45
564,CuInSe2,0.96
566,EuBi2Te4,0.44
568,ZnS,3.78
569,SbI3,2.12
571,GaAs,1.52
572,Ag8GeS6,1.18
573,Cs4GeP4Se12,2.0
574,AgN3,3.44
575,Sm1.82Lu2.18Se6,1.51
576,Si2Te3,2.03
577,LaMg2PdH7,1.0
578,SiAs,1.57
580,GaSb,0.7
581,Pb2Nb2Se4O15,2.79
582,RbAg5P2S8,2.4
583,Ba2InYTe5,1.36
584,LiZnN,1.98
585,In0.7Al0.3P,1.9
587,KTa3Te2O12,4.06
588,KI,6.2
591,LuIn3S6,1.27
592,Hg8As4Bi3Cl13,2.43
593,AgN3,3.9
594,PbI2,2.53
595,Na2Hg3Sn2S8,2.45
596,AgTlTe2,0.1
597,Pb3BiV3O12,2.5
598,K2Nd2Ti3O10,3.25
599,Pb0.99Sn0.01Te,0.23
600,Zn3As2,1.1
601,Na2Hg3S2.51Se1.49,2.03
602,BaIr2Ge4S6,1.54
603,Ba3GeS5,3.0
605,EuSe,3.1
608,Li2B4O7,7.3
609,KI,6.17
611,KSbS2,1.6
612,RbBr,7.2
613,Hg0.2Cd0.8Se,0.45
614,Pb0.85Sn0.15Se,0.14
615,Bi2Te2SO10,3.6
616,Hg0.06Zn0.94Te,2.12
617,ZnSe,2.82
618,KSm2CuS4,2.17
619,MgO,7.78
620,SnS0.25Se0.75,0.94
621,Rb9Bi13S24,1.3
622,La20Mo12O63Cl4,2.4
623,Bi3TeBO9,2.6
624,AgInSe2,1.18
625,Li2HgGeS4,2.46
626,In2Se3,1.2
627,PtSb2,0.08
628,FeAsS,0.4
629,Bi2O2CO3,3.42
631,Cu2CdGeS4,2.05
632,Ba2V4Te3O18,2.64
633,CuP2,1.4
634,Pb0.999Sn0.001Te,0.32
636,Mg2Sn,0.36
637,K2AuI5O15,2.65
638,CuI,3.1
639,NbIrSn,0.28
640,Pb0.85Sn0.15Te,0.13
641,CdIn30Te46,1.17
642,CoPS,0.4
643,CsLaHgSe3,2.51
644,La6Sb4S3O12,2.6
646,As2Se3,1.85
647,InP,1.34
650,Pb0.65Se0.65Sn0.35Te0.35,0.09
652,GaAs0.2Sb0.8,1.02
653,In2Se3,1.25
654,Ni2Te3O8,3.84
656,Sr4V2Se6O21,2.66
657,LiBiS2,0.18
658,Hg7.5As4Cl6,1.73
659,KH2PO4,6.95
660,RbCdB3O6,4.2
662,KZn4B3O9,2.32
664,CaS,5.4
665,InAs,0.42
666,Sr8Ga16Ge30,0.05
667,BiSBr,1.88
668,In2P3B1O12,5.39
669,InSe,1.34
670,Cs2PdSe8,1.5
672,Ga0.01Sb0.01Zn0.99Te0.99,2.1
673,ScPdSb,0.23
674,Bi2Se3,0.35
675,RbCd4Ga5Te12,1.64
676,CuGaS2,2.4
677,InP,1.42
678,Ba3Nb2Se9,1.3
679,GaAs,1.52
680,Pb0.9Mn0.1Te,0.49
681,As2S3,2.23
682,Rb2GeB4O9,5.54
683,InSb0.1As0.9,0.14
685,CdS,2.6
686,Tl2SeAs2Te3,0.67
687,LiSm3SiS7,2.83
688,Pb0.9Se0.9Bi0.2Te0.3,0.25
689,GaSb,0.81
690,Pt0.97S2,0.95
692,CdSb,0.43
694,CsInSnS4,2.9
695,CdTe,1.61
696,PbGa2S4,2.38
697,PbTe,0.22
698,Pb0.99Se0.99Ge0.01Te0.01,0.23
700,CuCl,3.22
702,Pb0.01Sn0.99Te,0.3
705,Li2HgGe,0.93
706,CsAu,2.3
708,PtS,0.38
709,Ba2SmTaO6,3.02
710,CeBiW2O9,2.34
712,SbTeI,1.28
713,Rb2Cd3B16O28,4.76
714,K2Ta15O32,0.33
715,CdSe,1.87
716,Hg0.14Zn0.86Te,1.66
717,CdSb,0.54
718,Li2ZnSnS4,2.87
719,EuYb2S4,1.6
720,Rb2CuNbSe4,2.19
721,ZnTe,2.18
722,CsB3O5,7.42
724,Pb0.9Ge0.1Te,0.35
726,EuBi2Se4,1.02
727,Rb3Nb2AsSe11,1.5
728,KTi2F7,6.4
729,TlSbS2,1.92
730,Mn11Si19,0.5
731,TlSe,0.7
732,Cd4LuB3O10,3.7
733,VO2,0.12
734,Cu0.8Ga1.2Se2.2,1.58
735,CdIn2Se4,1.72
736,Bi38ZnO58,2.88
737,KI,5.61
738,Na2Hg3Si2S8,2.86
739,GaS,2.6
740,RhSSe,0.7
741,SrPr2S4,2.7
742,CsAsSe2,1.86
743,GaAs0.86Sb0.14,0.66
744,PrFMoO4,3.64
745,Ge0.9355Si0.0645,1.04
747,CsYCdSe3,2.54
748,Cd4As2I3,1.89
749,AgInSe2,1.15
750,Ga0.4Al0.6As,2.3
751,Sc2S3,2.0
752,Zn0.85Hg0.15Se,1.8
753,CdIn2Te4,0.9
754,HgO,2.21
756,Sb2S3,1.7
757,Tb2Mo3O12,1.6
758,GaSe,1.93
759,TaGaSe2,1.65
760,HfSe2,2.2
761,Ag2GeSe3,0.91
762,Rb3Bi2I9,2.1
763,CuInTe2,1.06
764,Cd0.55Te0.55Al0.45Sb0.45,1.93
766,Hg2Cl2,2.84
767,Ag4Ba6Sn4S16,2.37
768,Nd2Te3,1.12
769,Ba2GaGdTe5,1.12
770,Mn3Ta2O8,1.89
771,RuSb2,0.3
773,Li2GaGe2Se6,2.64
774,GaSe,1.98
775,Gd2Se3,2.2
776,Rb2Cu2Sn2S6,1.44
778,Eu3S4,1.7
780,RbBr,7.7
781,AlP,3.1
784,Li9Ga13Te21O66,4.45
785,BiSb0.15,0.02
786,Ag0.1Cd0.8In2.1Te4,0.29
787,In2As2O5Cl2,4.62
788,CdTlS2,1.5
789,Cd3As2,0.14
790,InSb,0.25
791,Eu2O3,4.5
795,OsSbTe,0.05
796,AlSb,1.62
797,SnS,1.42
798,Ag2O,1.59
799,InN,2.1
800,YVTeO10,2.2
801,PtSb2,0.11
802,Bi1.4Te3Sb0.6,0.17
803,KPbPO4,4.44
804,SiSe2,1.74
805,Na2Zn3Se4O12,4.9
806,PbTe0.05Se0.95,0.26
807,In4Te3,0.55
808,CsBiS2,1.4
809,Ba4CuInSe6,2.23
811,VO2,0.5
812,Tl3VS4,1.97
813,CuCl,3.27
814,Na2Be4B4O11,7.3
815,Ce2S3,1.12
816,RhP2,1.0
817,Ga0.99As0.99Zn0.01Se0.01,1.39
819,CuI,2.8
820,Sb2Se3,1.3
821,Ce2Ge2Se7,1.1
822,ZnAs2,0.91
823,NaBiS2,0.38
824,ZnO,3.46
825,Hg0.25Zn0.75Te,1.37
826,As2Te3,1.75
827,Eu7Ga6Sb8,0.6
828,ZnS,3.74
829,SmBiW2O9,3.39
830,CrSi2,1.3
831,PbS,0.41
832,Ga0.99Sb0.99Hg0.01Te0.01,0.72
833,YPtSb,0.16
834,ZnSe,2.71
835,OsSbS,1.2
836,CdS,2.44
837,Sb2S3,1.92
839,AgBiSe2,0.34
841,In0.3As0.3Ga0.7P0.7,2.05
843,TlCl,3.47
844,Cs2AgBiCl6,2.77
845,CdSnP2,1.5
846,CuGaS2,2.53
847,Ba2GaBiTe5,1.43
848,Ca3B2N4,4.1
849,BaUSe3,1.0
850,Sb2Se3,1.4
852,ZnIn2S4,2.8
854,ZnTe,2.26
856,FeAsSe,0.6
857,Sb2O3,3.31
858,KInGeS4,3.1
859,Ba2SnSe5,1.8
860,ZrS3,2.28
861,Mn15Si26,0.7
863,Hg0.9Cd0.1Se,1.3
864,HoN,1.9
865,Zn3Sb2,0.2
866,Cu0.2Ga1.8Se2.8,1.86
867,Rb2CdP2Se6,2.58
868,Pb0.92Se0.92Sn0.08Te0.08,0.22
869,Ag3SbS3,1.81
870,Cs2Hg4.65Cd1.35S7,1.84
871,TiSe2,1.55
872,In0.7P0.7Ga0.3As0.3,1.58
873,SnI2,2.4
874,GaS,2.58
875,Bi2Te1.5Se1.5,0.29
876,Pb0.85Se0.85Ge0.15S0.15,0.34
877,NaI,5.8
879,CdSiP2,1.8
880,Na2In4SSe6,1.92
881,CuAlSe2,2.7
882,Cu3YbS3,1.56
883,RbSbTe2,0.38
884,Pb3BiP3O12,3.7
886,Ba2Ca2B4O10,5.6
887,ZnSb,1.11
888,K2AgVS4,1.85
890,GaHSeO4,5.51
891,GaSe,2.15
892,Ga0.75As0.75Zn0.25Se0.25,1.51
893,ZnS,3.73
894,RbBiSe2,0.92
895,GeSe2,2.38
896,Cu0.4Ga1.6S2.6,2.45
897,ZnTe,2.37
899,Cs3Nb9Te4O32,3.22
900,Cd5Ga2S2Te6,1.29
901,AgSbS2,1.9
902,In0.01P0.01Ga0.99As0.99,1.43
904,Cu4Sn7S16,0.8
905,ZnTe,2.2
906,Ce1.3Lu0.7S3,1.25
907,InP,1.35
909,Ag2.7Ba6Sn4.3S16,1.58
910,Sm2YbCuS5,1.28
911,Pb0.85Sn0.15Se,0.13
912,K2Hg3Ge2S8,2.64
913,CsScSe2O6,5.2
914,CdTe,1.44
915,GaN,3.21
916,La2HfS5,0.7
918,Ba2B4O9H2,5.12
919,ZrSe3,1.6
920,Cu2Se,1.5
921,CdGa2Se4,2.75
922,InN,2.4
923,AgAsS2,2.26
926,ZrC,0.6
927,NaI,6.75
928,CdSnP2,1.17
930,TaGaS2,2.45
931,CsBiS2,1.39
932,ZnSe,2.69
933,Sr2ScSbO6,3.57
934,CdGa2S4,3.44
935,KBiSe2,0.67
936,HgTe,0.18
937,La3FMo4O16,3.7
939,Sb2Se3,1.13
941,Cs4Th2P6S18,2.8
942,Mg2Si,2.27
945,In0.99As0.99Cd0.01Te0.01,0.76
946,Ga0.5In0.5As,0.75
949,TbIn3S6,1.2
951,KSbSe2,1.72
953,EuN,1.25
954,CuAlTe2,2.06
955,Bi2Te0.3Se2.7,0.24
956,La2Se3,1.97
958,Na2Ti3O7,3.51
959,Pb0.995TeIn0.005,0.43
960,CdSe,1.85
961,In0.9As0.9Ga0.1P0.1,0.45
962,RbCaBO3,3.67
963,CuInS2,1.57
964,ZnO,3.2
966,KGaSe2,2.6
967,KIO3,3.83
968,Ga0.9Sb0.9Zn0.1Te0.1,1.0
969,PdTe2,1.8
970,Zn3B2O6,2.6
972,RbNb3Te2O12,3.49
973,Tl2S,1.0
975,CdAs2,1.0
976,LiGaSe2,3.57
977,CdSe,1.86
978,GaTc,1.42
979,CdIn2S4,2.7
981,AlSb,1.52
982,Pb0.85Sn0.15Te,0.15
986,SbSI,1.93
987,In6Se7,0.34
988,Sb2Se3,1.15
989,InP,1.42
990,GaAs0.8P0.2,1.62
992,Cu2MgGeS4,2.36
993,BaGa2GeS6,3.26
994,K10Co4Sn4S17,1.31
995,PbS,0.31
996,K2.15Pb1.7Sb8.15Se15,0.6
997,Hg6.5As4CdCl6,2.05
998,PbS,0.38
999,CdS,2.66
1000,CsAsSe2,2.0
1001,TlCr5S5Se3,0.89
1002,AgSbTe2,0.48
1003,NaInTe2O6,4.0
1005,Pb3Cl4TeO3,3.79
1006,Na0.5Pb1.75GeS4,2.08
1007,LiAsS2,1.6
1008,Cs4Ag9Sb4S12,2.0
1012,ZnO,3.26
1014,CaI2,5.98
1015,GaAs0.99P0.01,1.37
1016,PbTe,0.22
1017,Nd2O3,4.4
1019,Hg0.77Cd0.23Te,0.21
1020,RbPbPO4,4.35
1021,Li2MoTeO6,3.5
1022,CuIn3Te5,1.01
1024,AgS,1.34
1026,InN,2.21
1028,EuTb2Se4,2.0
1029,As2S3,2.6
1030,GaSe,2.07
1031,CdGa2Se4,2.41
1032,CdSiAs2,1.51
1034,PbSe,0.28
1035,ZnIn2Se4,1.95
1036,InSe,1.29
1037,In2Bi3Se7I,1.38
1038,SbSBr,2.22
1039,Pb0.99TeIn0.01,0.53
1040,K2MnSnSe4,1.7
1041,IrSe2,0.9
1042,VFeSb,0.46
1043,LaGaS3,2.5
1044,CsBi2,0.55
1046,GeSe,1.38
1047,CaTe,4.3
1048,ZnIn2Se4,2.05
1049,RbNbSe2O7,4.1
1051,CdS0.55Se0.45,2.05
1052,K2S,2.1
1053,Zn0.99Hg0.01Se,2.6
1054,Tl4CdI6,2.8
1056,PbTe,0.33
1057,BaSe,3.7
1058,HgBr2,3.59
1059,Cd3P2,0.53
1060,Ga1.1Sb0.9Te0.3,0.7
1062,Cd3Sb2,0.3
1063,CsTm9Cd4Se18,2.16
1064,Bi2Te0.4Se2.6,0.7
1065,EuTe,2.06
1067,K2La2Ti3O10,3.05
1068,Pb0.99Ge0.01Se,0.27
1069,TlInTe2,0.62
1070,Pb0.9Se0.9Ge0.1S0.1,0.32
1071,K2Mo2Se2O11,3.3
1072,ZnIn2S4,2.6
1073,PbBr2,3.31
1074,As2S5,2.48
1076,NaH3Se2O6,4.9
1077,IrSSe,1.2
1078,GaAs,1.43
1079,GeS,1.68
1081,SbSI,1.95
1082,GaN,3.5
1083,Cu2ZnSiTe4,1.47
1084,OsAs2,0.92
1085,CdTeO3,3.91
1087,KIO3,4.02
1089,RhS3,1.5
1091,ZnS,3.56
1092,Sm3S3BO3,2.5
1093,GdScS3,2.1
1094,In6S7,0.89
1095,EuIn2Se4,1.31
1096,Cs2AgBiBr6,2.19
1097,Pb0.9Sn0.1Se,0.17
1099,LiGaTe2,2.31
1100,CdSiP2,2.4
1101,OsSb2,0.21
1102,CeTaN2O,1.9
1103,Ag3AsS3,2.03
1104,Ce4InSbSe9,1.69
1105,CdS,2.66
1106,YN,1.9
1107,CdSnP2,1.16
1108,TbClWO4,4.24
1109,CdIn2Se4,1.3
1110,LiAsSe2,1.1
1111,RbCl,8.5
1112,ZnAs2,0.92
1113,CoSb2,0.2
1114,SnS0.99Se0.01,1.11
1115,BaPdI4O12,1.97
1116,Fe2O3,2.2
1118,Ge0.88Si0.12,0.84
1119,GaSe,2.1
1120,NaSbP2S6,2.17
1122,Bi2S3,1.4
1124,SrTiO3,3.4
1125,Ag3SbS3,2.02
1126,As2S3,3.0
1128,Rb2CuVS4,1.85
1129,Rb4Mo5P2O22,3.51
1130,InAs,0.43
1133,GaAs,1.52
1134,Cu3TbSe3,0.16
1135,Sm2Se3,2.3
1136,AgInS2,1.9
1137,Cs4Cu3Bi9S17,0.6
1138,LiB3O5,8.0
1139,Bi2V2Se4O16,2.2
1140,Mg2GeSe4,2.02
1143,CdS,2.59
1144,NaBr,7.26
1145,CdGeAs2,0.65
1146,OsSb2,0.2
1147,GaAs0.01Sb0.99,1.37
1148,BiBr3,2.66
